"date","close","volume","open","high","low"
"2018/02/14","105.1300","1121304.0000","102.4800","105.1700","102.4400"
"2018/02/13","102.8000","933903.0000","102.5900","102.9500","102.1800"
"2018/02/12","102.7500","959250.0000","102.9200","103.2400","102.1800"
"2018/02/09","101.9900","1377224.0000","102.5300","103.0900","99.2000"
"2018/02/08","101.6600","1058754.0000","104.7700","104.8700","101.6100"
"2018/02/07","105.0900","1971739.0000","105.8000","106.6200","104.8400"
"2018/02/06","108.3600","1713078.0000","104.9300","108.4800","104.6600"
"2018/02/05","105.8700","1350594.0000","107.7800","108.9500","105.4000"
"2018/02/02","109.1500","1297955.0000","110.8500","110.8500","108.9700"
"2018/02/01","111.6500","1354193.0000","112.2200","112.5600","111.3600"
"2018/01/31","113.2500","5107440.0000","112.3500","113.4200","111.9700"
"2018/01/30","110.8100","6145821.0000","112.9800","113.1525","110.1900"
"2018/01/29","113.5400","1948526.0000","113.7200","114.1500","112.8800"
"2018/01/26","114.5400","1563035.0000","113.8300","114.5800","113.6550"
"2018/01/25","112.8400","638987.0000","114.1700","114.2800","112.6400"
"2018/01/24","114.3700","562112.0000","114.9600","115.3300","114.0300"
"2018/01/23","114.2700","524589.0000","114.0200","114.6500","113.7400"
"2018/01/22","112.7800","671508.0000","112.1800","112.7900","111.8000"
"2018/01/19","113.2000","821878.0000","113.0900","113.2499","112.6450"
"2018/01/18","111.6700","898047.0000","111.7800","112.1800","111.0900"
"2018/01/17","111.1900","977073.0000","110.0800","111.3490","109.9000"
"2018/01/16","110.6800","927218.0000","111.9800","112.3800","110.4500"
"2018/01/12","110.1300","1603401.0000","109.8300","110.6325","109.5100"
"2018/01/11","109.6400","2291164.0000","110.5400","110.6500","109.3700"
"2018/01/10","112.8700","705769.0000","113.6400","113.8200","112.5900"
"2018/01/09","114.1600","515853.0000","114.3600","114.4600","113.4500"
"2018/01/08","114.8000","515510.0000","115.0900","115.4200","114.7600"
"2018/01/05","116.3300","475330.0000","115.4500","116.5000","115.3600"
"2018/01/04","115.0500","539287.0000","114.7800","115.3000","114.7000"
"2018/01/03","113.3100","506151.0000","112.6300","113.6900","112.5500"
"2018/01/02","112.3900","540574.0000","111.2300","112.4200","111.1300"
"2017/12/29","112.3600","287764.0000","112.2200","112.6900","111.9900"
"2017/12/28","112.4000","487933.0000","112.7800","113.0200","112.0300"
"2017/12/27","113.1000","317501.0000","112.7500","113.3466","112.5900"
"2017/12/26","112.3600","157966.0000","112.4300","112.5000","111.9300"
"2017/12/22","112.5800","262565.0000","112.2900","112.6400","111.9500"
"2017/12/21","112.8800","369841.0000","112.8700","113.4700","112.7300"
"2017/12/20","113.1600","471020.0000","113.7600","113.8200","112.5950"
"2017/12/19","115.2000","426984.0000","115.6000","115.6800","114.5500"
"2017/12/18","115.9200","472321.0000","116.3100","116.4100","115.8100"
"2017/12/15","114.2800","854253.0000","113.5500","114.7000","113.3900"
"2017/12/14","113.8000","614525.0000","114.3400","114.9200","113.8000"
"2017/12/13","112.9000","324915.0000","113.1800","113.4900","112.5800"
"2017/12/12","112.6700","467555.0000","112.4800","112.9700","112.2001"
"2017/12/11","112.0300","547609.0000","111.4000","112.1000","111.3100"
"2017/12/08","112.5500","256940.0000","113.0800","113.2900","112.4200"
"2017/12/07","112.4200","350757.0000","111.8600","112.6300","111.7500"
"2017/12/06","112.2000","482076.0000","110.7200","112.5600","110.4900"
"2017/12/05","111.3000","533708.0000","110.8000","112.1000","110.6100"
"2017/12/04","111.4400","569172.0000","112.6400","112.6400","111.3800"
"2017/12/01","111.7800","660770.0000","111.5600","112.1700","110.7700"
"2017/11/30","113.3500","796116.0000","113.4600","113.6700","112.7600"
"2017/11/29","112.9700","614545.0000","115.3100","115.3100","112.5400"
"2017/11/28","115.5200","282697.0000","116.0900","116.1400","115.1900"
"2017/11/27","115.7400","394022.0000","116.0000","116.2600","115.5656"
"2017/11/24","116.4100","294119.0000","115.8100","116.4699","115.6500"
"2017/11/22","113.8500","385053.0000","114.7200","115.6400","113.5350"
"2017/11/21","115.2900","286982.0000","114.9100","115.5700","114.8600"
"2017/11/20","114.0300","299644.0000","113.6500","114.2600","113.5300"
"2017/11/17","113.7500","393707.0000","114.0900","114.2800","113.5900"
"2017/11/16","113.9400","487695.0000","113.4400","114.0100","113.3100"
